t,qx,qy,qz,qw
0.0,0.1518759807654354,0.19017434322948293,-0.08789537006667995,0.9659408934115035
0.02,0.15455442465275357,0.19625606106074078,-0.08448732626860071,0.9646027057898823
0.036,0.15674309648466342,0.20083505516611225,-0.0817445212421708,0.963542793843487
0.06,0.1600916426640535,0.20722296542984797,-0.07762522286769669,0.9619790191695063
0.08,0.1629316378925938,0.21211312699938345,-0.07418840501400982,0.9607067103386222
0.1,0.16580197215831788,0.2166195403307601,-0.07074256970764885,0.9594692124328228
0.124,0.16927603881899225,0.22156832950075508,-0.06659973385741307,0.958027960705802
0.144,0.1721915772789195,0.22540124073709045,-0.06315328591950883,0.9568469072249473
0.16,0.17453342356901028,0.22829630847314816,-0.060401640160928756,0.9559134487288498
0.18,0.17746615642464098,0.23169444184162008,-0.056967539896707206,0.9547660175884363
0.196,0.17981205213662863,0.2342327755613366,-0.05422460055346973,0.9538670376179604
0.216,0.18273644571181213,0.2371750570766149,-0.05079915399371286,0.9527721814068889
0.232,0.18506700204427887,0.2393470097521524,-0.048068742316906325,0.9519204849613842
0.252,0.18796257096414318,0.24184608806694932,-0.04466007643539715,0.9508869644579462
0.276,0.19140288841557737,0.24454107631339156,-0.04057194125788383,0.949693905363317
0.3,0.19479400360002372,0.2469131252975609,-0.03648232123606834,0.9485558733962346
0.316,0.19702014757092556,0.2483208586599254,-0.033753814181492175,0.9478293583940779
0.336,0.19975726092396362,0.2498914386821669,-0.03033825977201165,0.9469587612855791
0.36,0.20297475565756068,0.25151106701575277,-0.026245194547218527,0.9459675583747731
0.376,0.2050782340415765,0.2524440633851677,-0.023520346526846748,0.9453368214997397
0.4,0.20816139745498208,0.253631580520794,-0.019424833872021922,0.9444376791515454
0.42,0.2106683784927102,0.25445658499005525,-0.016005538409972625,0.9437237431572112
0.448,0.21410400273898547,0.2555260288710531,-0.011197706580018073,0.9427303622711438
0.472,0.21696050231472616,0.2564067533806598,-0.006954545542621844,0.9418786288861357
0.492,0.21929641709354386,0.25708482324106996,-0.003435507513439455,0.9411719674943403
0.508,0.2211332089288378,0.25757809146703453,-0.0006224546738977475,0.9406132272380683
0.524,0.22294347302812292,0.2580212571474794,0.0021879229844228663,0.9400619403460642
0.548,0.22561261135438107,0.25858429180196313,0.006390415060617133,0.9392509122840857
0.568,0.2277992280946428,0.258956130167264,0.00987532419161537,0.9385902792488267
0.584,0.22953027277920116,0.2591791667764603,0.012636105986312285,0.938073740285095
0.6,0.23125707315343894,0.2593218574929832,0.01532527888799246,0.9375699846784236
0.616,0.23297633733074866,0.2593960047780248,0.01798010022297989,0.937076547004096
0.632,0.23468224778574287,0.2594032933075925,0.02062627954449227,0.9365942187455348
0.648,0.23637781093716562,0.2593445059534176,0.02326333644732088,0.9361222008400774
0.668,0.23849552444591246,0.25917239131183406,0.02650180537925662,0.9355464770456969
0.692,0.24102649513720853,0.2588329976915584,0.030367647978223708,0.9348740631251601
0.712,0.24312421764023678,0.2584393497274531,0.033592740999389775,0.9343293022598734
